Keyword,Category,Priority,Reason,Avg Monthly Searches,Competition,Competition Index,Top Bid Low (USD),Top Bid High (USD)
quiero terapia,Effective,High,"Direct booking intent, medium competition — someone ready to start",50,Medium,39,,
terapia en línea,Effective,High,"Core service match, high competition confirms paid demand",50,High,79,0.45,1.93
terapia de pareja precio,Effective,High,"Price-checking = high intent; couples is a listed service",50,Medium,49,0.09,0.70
terapia para pareja,Effective,High,"Exact service match, medium competition",50,Medium,55,0.23,0.80
terapia emocional,Effective,High,"Broad but relevant; medium competition signals paid market",50,Medium,40,0.14,0.52
necesito terapia,Effective,High,"Problem-aware, high intent; matches Grace's empathetic tone",50,Low,29,,
empezar terapia,Effective,High,"Decision-stage intent — someone about to commit",50,Unknown,,,
necesito un terapeuta,Effective,High,"High intent; -100% 3-month trend worth watching",50,Unknown,,,
terapia de acompañamiento emocional,Effective,High,"Precise match to Grace's positioning language",50,Unknown,,,
terapia de estrés,Effective,Medium,"Symptom-based, direct service match",50,Low,20,,
terapia estres,Effective,Medium,"Variant spelling captures additional queries",50,Low,0,,
estres terapia,Effective,Medium,"Another variant — combine with above in same ad group",50,Low,0,,
vacío emocional,Effective,Medium,"Maps to Grace's listed symptom: 'sensación de vacío o desconexión'",50,Low,1,,
sensación de vacío,Effective,Medium,"Same intent as above, different phrasing",50,Low,0,,
sobrecarga emocional,Effective,Medium,"Maps to 'estrés o sobrecarga emocional' in services",50,Low,0,,
claridad emocional,Effective,Medium,"Echoes Grace's hero copy ('encontrar claridad') — brand-intent overlap",50,Low,0,,
quiero un cambio en mi vida,Effective,Low,"Transitional intent matches Grace's 'transiciones de vida' niche; low competition",50,Low,14,,
quiero hacer un cambio en mi vida,Effective,Low,"Same transitional intent, longer-tail variant",50,Unknown,,,
consulta de pareja,Effective,Low,"Couples service match; -100% YoY trend is a risk",50,Unknown,,,
terapia de relacion,Effective,Low,"Relational transitions is a service pillar; declining trend",50,Unknown,,,
no tener emociones,Effective,Low,"Symptom match for 'sensación de vacío / desconexión'; very niche",50,Low,0,,
dificultad para sentir emociones,Effective,Low,"Niche symptom match; both trend metrics negative — monitor",50,Unknown,,,
acompañamiento online,Effective,Low,"Matches Grace's terminology exactly; -100% 3-month decline — monitor",50,Unknown,,,
psicologia gratis,Negative,,"'Gratis' signals zero payment intent — pure budget drain",500,Low,32,0.10,0.45
psicologia gratuita,Negative,,"Same as above — 'gratuita' variant",50,Medium,35,0.15,0.56
terapeuta gratis en linea,Negative,,"Free-seeker, will not convert to paid session",50,Unknown,,,
terapia en línea gratuita,Negative,,"'Gratuita' + high competition index = expensive clicks that won't convert",50,High,69,0.06,0.25
empresas de psicologia,Negative,,"B2B / corporate HR intent — not Grace's client",50,High,71,,
lineas psicologicas,Negative,,"Crisis hotlines, not individual therapy booking",50,Medium,43,,
clinica psicologica,Negative,,"In-person clinic seeker; Grace is online-only",50,Low,6,0.17,0.57
consultorios psicologia,Negative,,"Same — in-person consultorio intent",50,Low,2,,
terapia consultorio,Negative,,"In-person intent",50,Unknown,,,
consultorio terapeutico,Negative,,"In-person intent",50,Low,0,,
consultorio terapia,Negative,,"In-person intent",50,Low,0,,
lugar de terapia,Negative,,"Searching for a physical location — not relevant",50,Low,0,,
terapias para familias,Negative,,"Family therapy is not in Grace's listed services",50,Unknown,,,
pasos para un diagnostico psicologico,Negative,,"Seeking a diagnosis process, not a therapist",50,Unknown,,,
bienestar emocional,Too Broad,,"500 searches but competition index 3 — mostly informational/content traffic",500,Low,3,0.22,0.63
qué son las emociones,Too Broad,,"5000 searches but zero commercial intent — pure educational query",5000,Low,0,,
cambio emocional,Too Broad,,"500 searches, zero competition — no booking intent",500,Low,0,,
apoyos emocionales,Too Broad,,"500 searches but competition index 1 — educational/informational",500,Low,1,0.16,0.31
terapia de pa,Too Broad,,"Truncated/ambiguous keyword — likely artifact; unclear service match",500,Medium,56,0.20,0.59
sesiones de terapia,Too Broad,,"Generic; someone already in therapy or researching, not booking",50,Low,3,,
mi terapia,Too Broad,,"Possessive implies they already have a therapist",50,Low,0,,
terapia de acompañamiento,Too Broad,,"Broader variant of the effective keyword above; -100% YoY — not worth bidding separately",50,Unknown,,,
acompañamiento emocional,Too Broad,,"Low volume, very low competition — organic is better play",50,Low,1,,
el proceso terapéutico,Too Broad,,"Informational / academic phrasing",50,Unknown,,,
sesión terapia,Too Broad,,"Generic; no directional intent",50,Low,1,,
terapia emocional qué es,Too Broad,,"'Qué es' = informational, not booking intent",50,Low,0,,
sesiones terapéuticas,Too Broad,,"Generic informational",50,Low,0,,
información sobre el bienestar emocional,Too Broad,,"Research intent, not booking",50,Unknown,,,
terapeuta qué es,Too Broad,,"'Qué es' = educational lookup",50,Low,0,,
persona en terapia,Too Broad,,"No booking intent",50,Low,0,,
terapia de emociones,Too Broad,,"Informational framing",50,Low,0,,
transición emocional,Too Broad,,"Academic/descriptive term, not a search with booking intent",50,Low,0,,
para qué es el terapeuta,Too Broad,,"Informational — researching what therapy is",50,Unknown,,,
espacio psicológico,Too Broad,,"Could attract brand-adjacent traffic but low volume and no intent signal",50,Low,0,,
trabajar las emociones,Too Broad,,"Informational / self-help intent",50,Low,0,,
terapia de pareja preguntas,Too Broad,,"Research-stage, not booking-stage",50,Low,7,,
marco terapeutico,Too Broad,,"Academic / professional term, not client-facing search",50,Unknown,,,
proceso de terapia,Too Broad,,"Informational, -100% YoY",50,Unknown,,,
reflexion sobre emociones,Too Broad,,"Informational / journaling intent",50,Unknown,,,
hablar sobre las emociones,Too Broad,,"Informational",50,Low,0,,
regular emociones,Too Broad,,"Self-help / skills content, not therapy booking",50,Low,0,,
claridad emocional (informational variants),Too Broad,,"See 'claridad emocional' above — keep only as exact/phrase match to avoid educational traffic",,,,
cambios de vida,Too Broad,,"Broad life-change phrase; no therapy intent signal",50,Low,0,,
sentido de mi vida,Too Broad,,"Philosophical; low conversion likelihood",50,Low,0,,
pasos para cambiar tu vida,Too Broad,,"Motivational self-help intent",50,Unknown,,,
terapia con tacto,Too Broad,,"Body/somatic therapy — not Grace's modality",0,Unknown,,,
terapias terapeuticas,Too Broad,,"Redundant/unclear search; very low competition",50,Low,21,,
lineas psicologicas,Too Broad,,"Covered under Negatives — crisis hotline intent",,,,
emociones (all variants),Too Broad,,"All 'emociones X' and 'X emociones' combos: informational, zero commercial index; cover as negatives if needed",,Low,0,,
